"Goodwill","16,939,000,000","20,127,000,000","14,655,000,000","13,452,000,000","12,581,000,000","12,394,000,000","12,503,000,000",
"Intangible assets, net","4,835,000,000","6,981,000,000","3,083,000,000","3,170,000,000","744,000,000","1,158,000,000","1,759,000,000",
"Deferred income taxes ","-","-","-","-","-","0","279,000,000",
"Other long-term assets","2,953,000,000","3,422,000,000","2,392,000,000","1,520,000,000","1,434,000,000","1,501,000,000","1,599,000,000",
"Total assets","176,223,000,000","172,384,000,000","142,431,000,000","121,271,000,000","108,704,000,000","86,113,000,000","77,888,000,000",
"Accounts payable","6,591,000,000","7,432,000,000","4,828,000,000","4,175,000,000","4,197,000,000","4,025,000,000","3,324,000,000",
"Short-term debt","4,985,000,000","2,000,000,000","-","-","-","1,000,000,000","2,000,000,000",
"Current portion of long-term debt","2,499,000,000","0","2,999,000,000","1,231,000,000","0","-","-",
"Accrued compensation","5,096,000,000","4,797,000,000","4,117,000,000","3,875,000,000","3,575,000,000","3,283,000,000","3,156,000,000",
"Income taxes","606,000,000","782,000,000","592,000,000","789,000,000","580,000,000","1,074,000,000","725,000,000",
"Short-term unearned revenue","23,223,000,000","23,150,000,000","20,639,000,000","18,653,000,000","15,722,000,000","13,652,000,000","13,003,000,000",
"Securities lending payable","92,000,000","558,000,000","645,000,000","814,000,000","1,208,000,000","182,000,000","1,684,000,000",
"Other current liabilities","6,766,000,000","6,906,000,000","3,597,000,000","3,151,000,000","3,492,000,000","2,931,000,000","3,142,000,000",
"Total current liabilities","49,858,000,000","45,625,000,000","37,417,000,000","32,688,000,000","28,774,000,000","26,147,000,000","27,034,000,000",
"Zero coupon convertible notes ","-","-","-","-","1,250,000,000","1,250,000,000","-",
"Notes","-","-","-","-","10,750,000,000","3,750,000,000","3,750,000,000",
"Unamortized debt discount","-","-","-","-","(79,000,000)","(61,000,000)","(4,000,000)",
"Long-term debt","-","-","-","-","11,921,000,000","4,939,000,000","3,746,000,000",
"Long-term debt","27,808,000,000","20,645,000,000","12,601,000,000","10,713,000,000","-","-","-",
"Long-term unearned revenue","2,095,000,000","2,008,000,000","1,760,000,000","1,406,000,000","1,398,000,000","1,178,000,000","1,281,000,000",
"Deferred income taxes","2,835,000,000","2,728,000,000","1,709,000,000","1,893,000,000","1,456,000,000","229,000,000","-",
"Tax contingencies & other tax liabilities","12,290,000,000","10,510,000,000","9,548,000,000","7,634,000,000","7,381,000,000","6,887,000,000","5,515,000,000",
"Legal contingencies","-","-","162,000,000","220,000,000","276,000,000","236,000,000","407,000,000",
"Product warranty","-","-","-","-","-","69,000,000","132,000,000",
"Other long-term liabilities","1,254,000,000","1,084,000,000","290,000,000","354,000,000","415,000,000","253,000,000","215,000,000",
"Other long-term liabilities","13,544,000,000","11,594,000,000","10,000,000,000","8,208,000,000","8,072,000,000","7,445,000,000","6,269,000,000",
"Total liabilities","96,140,000,000","82,600,000,000","63,487,000,000","54,908,000,000","51,621,000,000","-","-",
"Common stock & paid-in capital","68,465,000,000","68,366,000,000","67,306,000,000","65,797,000,000","63,415,000,000","62,856,000,000","62,382,000,000",
"Retained earnings (accumulated deficit)","9,096,000,000","17,710,000,000","9,895,000,000","566,000,000","(6,332,000,000)","(16,681,000,000)","(22,824,000,000)",
"Derivatives","590,000,000","31,000,000","66,000,000","-","-","-","-",
"Investments","3,169,000,000","3,531,000,000","1,794,000,000","-","-","-","-",
"Translation adjustments & other accumulated other comprehensive income","(1,237,000,000)","146,000,000","(117,000,000)","-","-","-","-",
"Accumulated other comprehensive income","2,522,000,000","3,708,000,000","1,743,000,000","-","-","-","-",
"Total stockholders' equity","80,083,000,000","89,784,000,000","78,944,000,000","66,363,000,000","57,083,000,000","46,175,000,000","39,558,000,000",
